district,year,sex,origin,prop
Alt-Wiedikon,2041,female,Swiss,22.1403
Alt-Wiedikon,2041,female,foreign,24.9803
Alt-Wiedikon,2042,male,Swiss,21.2886
Alt-Wiedikon,2042,male,foreign,31.5398
Alt-Wiedikon,2042,female,Swiss,22.1016
Alt-Wiedikon,2042,female,foreign,25.07
Alt-Wiedikon,2043,male,Swiss,21.2177
Alt-Wiedikon,2043,male,foreign,31.5597
Alt-Wiedikon,2043,female,Swiss,22.063
Alt-Wiedikon,2043,female,foreign,25.1597
Alt-Wiedikon,2044,male,Swiss,21.1468
Alt-Wiedikon,2044,male,foreign,31.5795
Alt-Wiedikon,2044,female,Swiss,22.0243
Alt-Wiedikon,2044,female,foreign,25.2494
Alt-Wiedikon,2045,male,Swiss,21.0759
Alt-Wiedikon,2045,male,foreign,31.5994
Alt-Wiedikon,2045,female,Swiss,21.9857
Alt-Wiedikon,2045,female,foreign,25.339
Alt-Wiedikon,2046,male,Swiss,21.005
Alt-Wiedikon,2046,male,foreign,31.6192
Alt-Wiedikon,2046,female,Swiss,21.947
Alt-Wiedikon,2046,female,foreign,25.4287
Alt-Wiedikon,2047,male,Swiss,20.9342
Alt-Wiedikon,2047,male,foreign,31.639
Alt-Wiedikon,2047,female,Swiss,21.9084
Alt-Wiedikon,2047,female,foreign,25.5184
Alt-Wiedikon,2048,male,Swiss,20.8633
Alt-Wiedikon,2048,male,foreign,31.6589
Alt-Wiedikon,2048,female,Swiss,21.8697
Alt-Wiedikon,2048,female,foreign,25.6081
Alt-Wiedikon,2049,male,Swiss,20.7924
Alt-Wiedikon,2049,male,foreign,31.6787
Alt-Wiedikon,2049,female,Swiss,21.8311
Alt-Wiedikon,2049,female,foreign,25.6978
Alt-Wiedikon,2050,male,Swiss,20.7215
Alt-Wiedikon,2050,male,foreign,31.6986
Alt-Wiedikon,2050,female,Swiss,21.7924
Alt-Wiedikon,2050,female,foreign,25.7875
Friesenberg,2021,male,Swiss,27.9593
Friesenberg,2021,male,foreign,23.2302
Friesenberg,2021,female,Swiss,31.2792
Friesenberg,2021,female,foreign,17.5313
Friesenberg,2022,male,Swiss,28.0103
Friesenberg,2022,male,foreign,23.0963
Friesenberg,2022,female,Swiss,31.3523
Friesenberg,2022,female,foreign,17.5411
Friesenberg,2023,male,Swiss,28.0612
Friesenberg,2023,male,foreign,22.9625
Friesenberg,2023,female,Swiss,31.4255
Friesenberg,2023,female,foreign,17.5509
Friesenberg,2024,male,Swiss,28.1122
Friesenberg,2024,male,foreign,22.8286
Friesenberg,2024,female,Swiss,31.4986
Friesenberg,2024,female,foreign,17.5606
Friesenberg,2025,male,Swiss,28.1631
Friesenberg,2025,male,foreign,22.6947
Friesenberg,2025,female,Swiss,31.5718
Friesenberg,2025,female,foreign,17.5704
Friesenberg,2026,male,Swiss,28.2141
Friesenberg,2026,male,foreign,22.5608
Friesenberg,2026,female,Swiss,31.6449
Friesenberg,2026,female,foreign,17.5802
Friesenberg,2027,male,Swiss,28.2651
Friesenberg,2027,male,foreign,22.4269
Friesenberg,2027,female,Swiss,31.7181
Friesenberg,2027,female,foreign,17.5899
Friesenberg,2028,male,Swiss,28.316
Friesenberg,2028,male,foreign,22.293
Friesenberg,2028,female,Swiss,31.7912
Friesenberg,2028,female,foreign,17.5997
Friesenberg,2029,male,Swiss,28.367
Friesenberg,2029,male,foreign,22.1591
Friesenberg,2029,female,Swiss,31.8644
Friesenberg,2029,female,foreign,17.6095
Friesenberg,2030,male,Swiss,28.418
Friesenberg,2030,male,foreign,22.0252
Friesenberg,2030,female,Swiss,31.9375
Friesenberg,2030,female,foreign,17.6193
Friesenberg,2031,male,Swiss,28.4689
Friesenberg,2031,male,foreign,21.8913
Friesenberg,2031,female,Swiss,32.0107
Friesenberg,2031,female,foreign,17.629
Friesenberg,2032,male,Swiss,28.5199
Friesenberg,2032,male,foreign,21.7575
Friesenberg,2032,female,Swiss,32.0839
Friesenberg,2032,female,foreign,17.6388
Friesenberg,2033,male,Swiss,28.5708
Friesenberg,2033,male,foreign,21.6236
