district,year,pop
Oberstrass,2023,11029.033532796177
Oberstrass,2024,11073.639668428192
Oberstrass,2025,11180.200995513856
Oberstrass,2026,11191.025890714169
Oberstrass,2027,11238.697982094976
Oberstrass,2028,11290.513769850904
Oberstrass,2029,11340.297128858318
Oberstrass,2030,11388.122645855738
Oberstrass,2031,11434.059869229613
Oberstrass,2032,11478.209951951478
Oberstrass,2033,11520.634693015085
Oberstrass,2034,11561.388971848288
Oberstrass,2035,11600.540557030166
Oberstrass,2036,11638.1331977914
Oberstrass,2037,11674.2644462754
Oberstrass,2038,11708.978458591844
Oberstrass,2039,11742.326794355644
Oberstrass,2040,11774.37514698658
Oberstrass,2041,11805.156776369024
Oberstrass,2042,11834.75572810354
Oberstrass,2043,11863.179805623438
Oberstrass,2044,11890.472498250181
Oberstrass,2045,11916.698687105321
Oberstrass,2046,11941.916599506501
Oberstrass,2047,11966.146371917346
Oberstrass,2048,11989.41084463567
Oberstrass,2049,12011.754260911332
Oberstrass,2050,12033.303037103453
Fluntern,2008,7542.000000000001
Fluntern,2009,7528
Fluntern,2010,7637
Fluntern,2011,7873.000000000001
Fluntern,2012,7779
Fluntern,2013,7856.000000000001
Fluntern,2014,7865
Fluntern,2015,7953.000000000001
Fluntern,2016,8038
Fluntern,2017,8221
Fluntern,2018,8485
Fluntern,2019,8639
Fluntern,2020,8685
Fluntern,2021,8876.758599218148
Fluntern,2022,8952.204604792983
Fluntern,2023,9089.461071679329
Fluntern,2024,9108.68318072219
Fluntern,2025,9166.939951031289
Fluntern,2026,9238.130897029785
Fluntern,2027,9307.634194878461
Fluntern,2028,9374.508899669685
Fluntern,2029,9438.808192302022
Fluntern,2030,9500.614387079
Fluntern,2031,9560.024281442433
Fluntern,2032,9617.140883429665
Fluntern,2033,9672.04685062623
Fluntern,2034,9724.844451729401
Fluntern,2035,9775.595840903134
Fluntern,2036,9824.386534949432
Fluntern,2037,9871.282922212697
Fluntern,2038,9916.386798929274
Fluntern,2039,9959.729241661827
Fluntern,2040,10001.394249020035
Fluntern,2041,10041.448625697069
Fluntern,2042,10079.958193692157
Fluntern,2043,10116.993588206162
Fluntern,2044,10152.584424513723
Fluntern,2045,10186.799233997826
Fluntern,2046,10219.70453118746
Fluntern,2047,10251.334666189916
Fluntern,2048,10281.738044138629
Fluntern,2049,10310.968906030575
Fluntern,2050,10339.072468134602
Hottingen,2008,10548
Hottingen,2009,10594
Hottingen,2010,10570.000000000002
Hottingen,2011,10461
Hottingen,2012,10447
Hottingen,2013,10708
Hottingen,2014,10882
Hottingen,2015,11081
Hottingen,2016,11113
Hottingen,2017,11172.000000000002
Hottingen,2018,11265
Hottingen,2019,11388.000000000002
Hottingen,2020,11304
Hottingen,2021,11389.168319454373
Hottingen,2022,11471.102637576509
Hottingen,2023,11549.939343090908
Hottingen,2024,11625.766619207989
Hottingen,2025,11698.692510626348
Hottingen,2026,11768.835465861408
Hottingen,2027,11836.333583996522
Hottingen,2028,11901.257361358415
Hottingen,2029,11963.726516398252
Hottingen,2030,12023.831699034232
Hottingen,2031,12081.644562147632
Hottingen,2032,12137.266276601651
Hottingen,2033,12190.769209068174
Hottingen,2034,12242.225941466282
Hottingen,2035,12291.738578833669
Hottingen,2036,12339.380417369082
Hottingen,2037,12385.185867989974
Hottingen,2038,12429.277534098623
Hottingen,2039,12471.690219231117
Hottingen,2040,12512.478672782858
Hottingen,2041,12551.717480637186
Hottingen,2042,12589.471356264521
Hottingen,2043,12625.77602753395
Hottingen,2044,12660.706830170584
Hottingen,2045,12694.329113603662
Hottingen,2046,12726.67906518625
Hottingen,2047,12757.783743358637
Hottingen,2048,12787.689140569903
Hottingen,2049,12816.481145497217
Hottingen,2050,12844.167411829949
Hirslanden,2008,6967
Hirslanden,2009,6956
Hirslanden,2010,6998.000000000001
Hirslanden,2011,7024
Hirslanden,2012,7131
Hirslanden,2013,7285
Hirslanden,2014,7403
Hirslanden,2015,7379.999999999999
Hirslanden,2016,7321
Hirslanden,2017,7465.000000000001
Hirslanden,2018,7488
Hirslanden,2019,7503
Hirslanden,2020,7396
Hirslanden,2021,7461.131463196528
Hirslanden,2022,7583.106575777406
Hirslanden,2023,7636.195873336867
Hirslanden,2024,7652.137040519063
Hirslanden,2025,7719.412150842374
Hirslanden,2026,7742.035767748801
Hirslanden,2027,7793.804895783843
Hirslanden,2028,7843.574571993884
Hirslanden,2029,7891.393408365047
Hirslanden,2030,7937.356160968375
Hirslanden,2031,7981.558155526211
Hirslanden,2032,8024.05955604714
Hirslanden,2033,8064.902625517553
Hirslanden,2034,8104.173059919834
Hirslanden,2035,8141.937770237133
Hirslanden,2036,8178.235842669199
Hirslanden,2037,8213.12907794453
Hirslanden,2038,8246.685686784
Hirslanden,2039,8278.926886365589
Hirslanden,2040,8309.928775087095
Hirslanden,2041,8339.74540770267
Hirslanden,2042,8368.395435518256
Hirslanden,2043,8395.936423179548
Hirslanden,2044,8422.416088517068
Hirslanden,2045,8447.87973191369
Hirslanden,2046,8472.367536056388
Hirslanden,2047,8495.906092274849
Hirslanden,2048,8518.527929608004
Hirslanden,2049,8540.260440458416
Hirslanden,2050,8561.163206662353
Witikon,2008,10183
Witikon,2009,10284
Witikon,2010,10242
Witikon,2011,10258
Witikon,2012,10246
Witikon,2013,10267
Witikon,2014,10406
Witikon,2015,10639.000000000002
Witikon,2016,10667
Witikon,2017,10600
Witikon,2018,10953.000000000002
Witikon,2019,11054
Witikon,2020,11243.999999999998
Witikon,2021,11423.693733329565
Witikon,2022,11543.914453675103
Witikon,2023,11913.42913346371
Witikon,2024,12037.794331972744
Witikon,2025,12171.485019504127
Witikon,2026,12785.658387188778
Witikon,2027,12836.715691243151
Witikon,2028,12851.546577287607
Witikon,2029,12863.615849377691
Witikon,2030,12875.377561452555
Witikon,2031,12886.836162873302
Witikon,2032,12898.009596369884
Witikon,2033,12908.903968857223
Witikon,2034,12919.530588722144
Witikon,2035,12929.90347697248
Witikon,2036,12940.026133612428
Witikon,2037,12949.909709985122
Witikon,2038,12959.56145298757
Witikon,2039,12968.993948363674
Witikon,2040,12978.209854085992
Witikon,2041,12987.218230734059
Witikon,2042,12996.027134981914
Witikon,2043,13004.647652432759
Witikon,2044,13013.073081982116
Witikon,2045,13021.325894051908
Witikon,2046,13029.40906956375
Witikon,2047,13073.283582963708
Witikon,2048,13143.47410214851
Witikon,2049,13210.913437158459
Witikon,2050,13275.71184645602
Seefeld,2008,4863.000000000001
Seefeld,2009,4731.999999999999
Seefeld,2010,4840
Seefeld,2011,4908
Seefeld,2012,4916
Seefeld,2013,4978.000000000001
Seefeld,2014,5035
Seefeld,2015,4990
Seefeld,2016,5046
Seefeld,2017,5129
Seefeld,2018,5253
Seefeld,2019,5319
Seefeld,2020,5480
Seefeld,2021,5787.942990028461
Seefeld,2022,5829.576489792057
Seefeld,2023,5867.862842150556
Seefeld,2024,5904.634114337539
Seefeld,2025,5939.955814562504
Seefeld,2026,5973.899598272323
Seefeld,2027,6006.4964200104805
Seefeld,2028,6037.795157960901
Seefeld,2029,6067.863206622355
Seefeld,2030,6096.74971784986
Seefeld,2031,6124.48546928442
Seefeld,2032,6151.133854755052
Seefeld,2033,6176.729783881266
Seefeld,2034,6201.300763701984
Seefeld,2035,6224.900014063588
Seefeld,2036,6247.576814363963
Seefeld,2037,6269.354108077933
Seefeld,2038,6290.266576027022
Seefeld,2039,6310.342181475547
Seefeld,2040,6329.615515689534
Seefeld,2041,6348.132110073926
Seefeld,2042,6365.896638411349
Seefeld,2043,6382.962193700522
Seefeld,2044,6399.338477970416
Seefeld,2045,6415.078595581341
Seefeld,2046,6430.187267932907
Seefeld,2047,6444.691671960252
Seefeld,2048,6458.600090828798
Seefeld,2049,6471.967210733614
Seefeld,2050,6484.801384457736
Muehlebach,2008,5491
Muehlebach,2009,5545
Muehlebach,2010,5679
Muehlebach,2011,5651.000000000001
Muehlebach,2012,5745
Muehlebach,2013,5912.000000000001
Muehlebach,2014,6106.999999999999
Muehlebach,2015,6116
Muehlebach,2016,6137
Muehlebach,2017,6164
Muehlebach,2018,6315
Muehlebach,2019,6327
Muehlebach,2020,6414
Muehlebach,2021,6478.465123589913
Muehlebach,2022,6510.941449311039
Muehlebach,2023,6573.475395522859
Muehlebach,2024,6574.512562226567
Muehlebach,2025,6598.658274871201
Muehlebach,2026,6626.294630524341
Muehlebach,2027,6656.715414157571
Muehlebach,2028,6687.117975074783
Muehlebach,2029,6716.356686105919
Muehlebach,2030,6744.477321428391
Muehlebach,2031,6771.497983587669
Muehlebach,2032,6797.473175921036
Muehlebach,2033,6822.451446842781
Muehlebach,2034,6846.472088805382
Muehlebach,2035,6869.570921879944
Muehlebach,2036,6891.787697745522
Muehlebach,2037,6913.152271294216
