district,year,owner,usage_ha
Langstrasse,2024,cooperative housing,0.6253
Langstrasse,2024,private housing,22.3594
Langstrasse,2025,cooperative housing,0.6008
Langstrasse,2025,private housing,21.4826
Langstrasse,2026,cooperative housing,0.5772
Langstrasse,2026,private housing,20.6403
Langstrasse,2027,cooperative housing,0.5546
Langstrasse,2027,private housing,19.831
Langstrasse,2028,cooperative housing,0.5329
Langstrasse,2028,private housing,19.0534
Langstrasse,2029,cooperative housing,0.512
Langstrasse,2029,private housing,18.3063
Langstrasse,2030,cooperative housing,0.4919
Langstrasse,2030,private housing,17.5885
Langstrasse,2031,cooperative housing,0.4726
Langstrasse,2031,private housing,16.8988
Langstrasse,2032,cooperative housing,0.4541
Langstrasse,2032,private housing,16.2362
Langstrasse,2033,cooperative housing,0.4363
Langstrasse,2033,private housing,15.5996
Langstrasse,2034,cooperative housing,0.4192
Langstrasse,2034,private housing,14.9879
Langstrasse,2035,cooperative housing,0.4027
Langstrasse,2035,private housing,14.4002
Langstrasse,2036,cooperative housing,0.3869
Langstrasse,2036,private housing,13.8356
Langstrasse,2037,cooperative housing,0.3718
Langstrasse,2037,private housing,13.2931
Langstrasse,2038,cooperative housing,0.3572
Langstrasse,2038,private housing,12.7719
Langstrasse,2039,cooperative housing,0.3432
Langstrasse,2039,private housing,12.2711
Langstrasse,2040,cooperative housing,0.3297
Langstrasse,2040,private housing,11.7899
Langstrasse,2041,cooperative housing,0.3168
Langstrasse,2041,private housing,11.3276
Langstrasse,2042,cooperative housing,0.3044
Langstrasse,2042,private housing,10.8835
Langstrasse,2043,cooperative housing,0.2924
Langstrasse,2043,private housing,10.4567
Langstrasse,2044,cooperative housing,0.281
Langstrasse,2044,private housing,10.0467
Langstrasse,2045,cooperative housing,0.27
Langstrasse,2045,private housing,9.6528
Langstrasse,2046,cooperative housing,0.2594
Langstrasse,2046,private housing,9.2743
Langstrasse,2047,cooperative housing,0.2492
Langstrasse,2047,private housing,8.9106
Langstrasse,2048,cooperative housing,0.2394
Langstrasse,2048,private housing,8.5612
Langstrasse,2049,cooperative housing,0.23
Langstrasse,2049,private housing,8.2255
Langstrasse,2050,cooperative housing,0.221
Langstrasse,2050,private housing,7.903
Hard,2021,cooperative housing,19.5211
Hard,2021,private housing,18.5868
Hard,2022,cooperative housing,18.7556
Hard,2022,private housing,17.858
Hard,2023,cooperative housing,18.0202
Hard,2023,private housing,17.1578
Hard,2024,cooperative housing,17.3136
Hard,2024,private housing,16.485
Hard,2025,cooperative housing,16.6347
Hard,2025,private housing,15.8386
Hard,2026,cooperative housing,15.9825
Hard,2026,private housing,15.2176
Hard,2027,cooperative housing,15.3558
Hard,2027,private housing,14.6209
Hard,2028,cooperative housing,14.7537
Hard,2028,private housing,14.0476
Hard,2029,cooperative housing,14.1752
Hard,2029,private housing,13.4968
Hard,2030,cooperative housing,13.6194
Hard,2030,private housing,12.9676
Hard,2031,cooperative housing,13.0854
Hard,2031,private housing,12.4591
Hard,2032,cooperative housing,12.5723
Hard,2032,private housing,11.9706
Hard,2033,cooperative housing,12.0793
Hard,2033,private housing,11.5012
Hard,2034,cooperative housing,11.6057
Hard,2034,private housing,11.0502
Hard,2035,cooperative housing,11.1506
Hard,2035,private housing,10.6169
Hard,2036,cooperative housing,10.7134
Hard,2036,private housing,10.2006
Hard,2037,cooperative housing,10.2933
