district,year,owner,aca_dyw
Seefeld,2036,cooperative housing,2.233
Seefeld,2036,private housing,1.4763
Seefeld,2037,cooperative housing,2.2347
Seefeld,2037,private housing,1.4787
Seefeld,2038,cooperative housing,2.2364
Seefeld,2038,private housing,1.4812
Seefeld,2039,cooperative housing,2.2381
Seefeld,2039,private housing,1.4836
Seefeld,2040,cooperative housing,2.2398
Seefeld,2040,private housing,1.486
Seefeld,2041,cooperative housing,2.2415
Seefeld,2041,private housing,1.4885
Seefeld,2042,cooperative housing,2.2431
Seefeld,2042,private housing,1.4909
Seefeld,2043,cooperative housing,2.2448
Seefeld,2043,private housing,1.4934
Seefeld,2044,cooperative housing,2.2465
Seefeld,2044,private housing,1.4958
Seefeld,2045,cooperative housing,2.2482
Seefeld,2045,private housing,1.4983
Seefeld,2046,cooperative housing,2.2499
Seefeld,2046,private housing,1.5007
Seefeld,2047,cooperative housing,2.2516
Seefeld,2047,private housing,1.5032
Seefeld,2048,cooperative housing,2.2533
Seefeld,2048,private housing,1.5056
Seefeld,2049,cooperative housing,2.2549
Seefeld,2049,private housing,1.5081
Seefeld,2050,cooperative housing,2.2566
Seefeld,2050,private housing,1.5105
Muehlebach,2021,cooperative housing,2.2078
Muehlebach,2021,private housing,1.5395
Muehlebach,2022,cooperative housing,2.2094
Muehlebach,2022,private housing,1.5426
Muehlebach,2023,cooperative housing,2.2111
Muehlebach,2023,private housing,1.5457
Muehlebach,2024,cooperative housing,2.2128
Muehlebach,2024,private housing,1.5488
Muehlebach,2025,cooperative housing,2.2145
Muehlebach,2025,private housing,1.5518
Muehlebach,2026,cooperative housing,2.2162
Muehlebach,2026,private housing,1.5549
Muehlebach,2027,cooperative housing,2.2179
Muehlebach,2027,private housing,1.558
Muehlebach,2028,cooperative housing,2.2196
Muehlebach,2028,private housing,1.5611
Muehlebach,2029,cooperative housing,2.2212
Muehlebach,2029,private housing,1.5642
Muehlebach,2030,cooperative housing,2.2229
Muehlebach,2030,private housing,1.5673
Muehlebach,2031,cooperative housing,2.2246
Muehlebach,2031,private housing,1.5704
Muehlebach,2032,cooperative housing,2.2263
Muehlebach,2032,private housing,1.5734
Muehlebach,2033,cooperative housing,2.228
Muehlebach,2033,private housing,1.5765
Muehlebach,2034,cooperative housing,2.2297
Muehlebach,2034,private housing,1.5796
Muehlebach,2035,cooperative housing,2.2314
Muehlebach,2035,private housing,1.5827
Muehlebach,2036,cooperative housing,2.233
Muehlebach,2036,private housing,1.5858
Muehlebach,2037,cooperative housing,2.2347
Muehlebach,2037,private housing,1.5889
Muehlebach,2038,cooperative housing,2.2364
Muehlebach,2038,private housing,1.5919
Muehlebach,2039,cooperative housing,2.2381
Muehlebach,2039,private housing,1.595
Muehlebach,2040,cooperative housing,2.2398
Muehlebach,2040,private housing,1.5981
Muehlebach,2041,cooperative housing,2.2415
Muehlebach,2041,private housing,1.6012
Muehlebach,2042,cooperative housing,2.2431
Muehlebach,2042,private housing,1.6043
Muehlebach,2043,cooperative housing,2.2448
Muehlebach,2043,private housing,1.6074
Muehlebach,2044,cooperative housing,2.2465
Muehlebach,2044,private housing,1.6105
Muehlebach,2045,cooperative housing,2.2482
Muehlebach,2045,private housing,1.6135
